index	NP	0	1
0	01	458010.0	1113989.0
1	01	458066.56	1113932.38
2	01	458123.13	1113875.88
3	01	458179.72	1113819.25
4	01	458236.28	1113762.75
5	01	458292.84	1113706.13
6	01	458349.41	1113649.63
7	01	458405.97	1113593.0
8	01	458462.56	1113536.5
9	01	458519.13	1113479.88
10	01	458575.69	1113423.38
11	01	458632.25	1113366.75
12	01	458688.81	1113310.13
13	01	458745.41	1113253.63
14	01	458801.97	1113197.0
15	01	458858.53	1113140.5
16	01	458915.09	1113083.88
17	01	458971.66	1113027.38
18	01	459028.22	1112970.75
19	01	459084.81	1112914.25
20	01	459141.38	1112857.63
21	01	459197.94	1112801.0
22	01	459254.5	1112744.5
23	01	459311.06	1112687.88
24	01	459367.66	1112631.38
25	01	459424.22	1112574.75
26	01	459480.78	1112518.25
27	01	459537.34	1112461.63
28	01	459593.91	1112405.13
29	01	459650.5	1112348.5
30	01	459707.06	1112292.0
31	01	459763.63	1112235.38
32	01	459820.19	1112178.75
33	01	459876.75	1112122.25
34	01	459933.34	1112065.63
35	01	459989.91	1112009.13
36	01	460046.47	1111952.5
37	01	460103.03	1111896.0
38	01	460159.59	1111839.38
39	01	460216.19	1111782.88
40	01	460272.75	1111726.25
41	01	460329.31	1111669.75
42	01	460385.88	1111613.13
43	01	460442.44	1111556.5
44	01	460499.03	1111500.0
45	01	460555.59	1111443.38
46	01	460612.16	1111386.88
47	01	460668.72	1111330.25
48	01	460725.28	1111273.75
49	01	460781.84	1111217.13
50	01	460838.44	1111160.63
51	01	460895.0	1111104.0
52	01	460951.56	1111047.38
53	01	461008.13	1110990.88
54	01	461064.69	1110934.25
55	01	461121.28	1110877.75
56	01	461177.84	1110821.13
57	01	461234.41	1110764.63
58	01	461290.97	1110708.0
59	01	461347.53	1110651.5
60	01	461404.13	1110594.88
61	01	461460.69	1110538.38
62	01	461517.25	1110481.75
63	01	461573.81	1110425.13
64	01	461630.38	1110368.63
65	01	461686.97	1110312.0
66	01	461743.53	1110255.5
67	01	461800.09	1110198.88
68	01	461856.66	1110142.38
69	01	461913.22	1110085.75
70	01	461969.81	1110029.25
71	01	462026.38	1109972.63
72	01	462082.94	1109916.13
73	01	462139.5	1109859.5
74	01	462196.06	1109802.88
75	01	462252.63	1109746.38
76	01	462309.22	1109689.75
77	01	462365.78	1109633.25
78	01	462422.34	1109576.63
79	01	462478.91	1109520.13
80	01	462535.47	1109463.5
81	01	462592.06	1109407.0
82	01	462648.63	1109350.38
83	01	462705.19	1109293.75
84	01	462761.75	1109237.25
85	01	462818.31	1109180.63
86	01	462874.91	1109124.13
87	01	462931.47	1109067.5
88	01	462988.03	1109011.0
89	01	463044.59	1108954.38
90	01	463101.16	1108897.88
91	01	463157.75	1108841.25
92	01	463214.31	1108784.75
93	01	463270.88	1108728.13
94	01	463327.44	1108671.5
95	01	463384.0	1108615.0
96	01	463440.59	1108558.38
97	01	463497.16	1108501.88
98	01	463553.72	1108445.25
99	01	463610.28	1108388.75
0	02	459500.0	1116500.0
1	02	459627.28	1116372.75
2	02	459754.56	1116245.5
3	02	459881.84	1116118.13
4	02	460009.13	1115990.88
5	02	460136.41	1115863.63
6	02	460263.69	1115736.38
7	02	460390.97	1115609.0
8	02	460518.22	1115481.75
9	02	460645.5	1115354.5
10	02	460772.78	1115227.25
11	02	460900.06	1115099.88
12	02	461027.34	1114972.63
13	02	461154.63	1114845.38
14	02	461281.91	1114718.13
15	02	461409.19	1114590.75
16	02	461536.47	1114463.5
17	02	461663.75	1114336.25
18	02	461791.03	1114209.0
19	02	461918.31	1114081.75
20	02	462045.59	1113954.38
21	02	462172.88	1113827.13
22	02	462300.16	1113699.88
23	02	462427.44	1113572.63
24	02	462554.69	1113445.25
25	02	462681.97	1113318.0
26	02	462809.25	1113190.75
27	02	462936.53	1113063.5
28	02	463063.81	1112936.13
29	02	463191.09	1112808.88
30	02	463318.38	1112681.63
31	02	463445.66	1112554.38
32	02	463572.94	1112427.13
33	02	463700.22	1112299.75
34	02	463827.5	1112172.5
35	02	463954.78	1112045.25
36	02	464082.06	1111918.0
37	02	464209.34	1111790.63
38	02	464336.63	1111663.38
39	02	464463.88	1111536.13
40	02	464591.16	1111408.88
41	02	464718.44	1111281.5
42	02	464845.72	1111154.25
43	02	464973.0	1111027.0
44	02	465100.28	1110899.75
45	02	465227.56	1110772.38
46	02	465354.84	1110645.13
47	02	465482.13	1110517.88
48	02	465609.41	1110390.63
49	02	465736.69	1110263.38
50	02	465863.97	1110136.0
51	02	465991.25	1110008.75
52	02	466118.53	1109881.5
53	02	466245.81	1109754.25
54	02	466373.06	1109626.88
55	02	466500.34	1109499.63
56	02	466627.63	1109372.38
57	02	466754.91	1109245.13
58	02	466882.19	1109117.75
59	02	467009.47	1108990.5
60	02	467136.75	1108863.25
61	02	467264.03	1108736.0
62	02	467391.31	1108608.75
63	02	467518.59	1108481.38
64	02	467645.88	1108354.13
65	02	467773.16	1108226.88
66	02	467900.44	1108099.63
67	02	468027.72	1107972.25
68	02	468155.0	1107845.0
69	02	468282.25	1107717.75
70	02	468409.53	1107590.5
71	02	468536.81	1107463.13
72	02	468664.09	1107335.88
73	02	468791.38	1107208.63
74	02	468918.66	1107081.38
75	02	469045.94	1106954.0
76	02	469173.22	1106826.75
77	02	469300.5	1106699.5
78	02	469427.78	1106572.25
79	02	469555.06	1106445.0
80	02	469682.34	1106317.63
81	02	469809.63	1106190.38
82	02	469936.91	1106063.13
83	02	470064.19	1105935.88
84	02	470191.47	1105808.5
85	02	470318.72	1105681.25
86	02	470446.0	1105554.0
87	02	470573.28	1105426.75
88	02	470700.56	1105299.38
89	02	470827.84	1105172.13
90	02	470955.13	1105044.88
91	02	471082.41	1104917.63
92	02	471209.69	1104790.25
93	02	471336.97	1104663.0
94	02	471464.25	1104535.75
95	02	471591.53	1104408.5
96	02	471718.81	1104281.25
97	02	471846.09	1104153.88
98	02	471973.38	1104026.63
99	02	472100.66	1103899.38
0	03	462000.0	1118000.0
1	03	462127.28	1117872.75
2	03	462254.56	1117745.5
3	03	462381.84	1117618.13
4	03	462509.13	1117490.88
5	03	462636.41	1117363.63
6	03	462763.69	1117236.38
7	03	462890.97	1117109.0
8	03	463018.22	1116981.75
9	03	463145.5	1116854.5
10	03	463272.78	1116727.25
11	03	463400.06	1116599.88
12	03	463527.34	1116472.63
13	03	463654.63	1116345.38
14	03	463781.91	1116218.13
15	03	463909.19	1116090.75
16	03	464036.47	1115963.5
17	03	464163.75	1115836.25
18	03	464291.03	1115709.0
19	03	464418.31	1115581.75
20	03	464545.59	1115454.38
21	03	464672.88	1115327.13
22	03	464800.16	1115199.88
23	03	464927.44	1115072.63
24	03	465054.69	1114945.25
25	03	465181.97	1114818.0
26	03	465309.25	1114690.75
27	03	465436.53	1114563.5
28	03	465563.81	1114436.13
29	03	465691.09	1114308.88
30	03	465818.38	1114181.63
31	03	465945.66	1114054.38
32	03	466072.94	1113927.13
33	03	466200.22	1113799.75
34	03	466327.5	1113672.5
35	03	466454.78	1113545.25
36	03	466582.06	1113418.0
37	03	466709.34	1113290.63
38	03	466836.63	1113163.38
39	03	466963.88	1113036.13
40	03	467091.16	1112908.88
41	03	467218.44	1112781.5
42	03	467345.72	1112654.25
43	03	467473.0	1112527.0
44	03	467600.28	1112399.75
45	03	467727.56	1112272.38
